# Template No.           2: sn1994I (Ic-norm; +0) ; z= 0.039 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   3729.06958      0.119844064    
   3734.12134      0.121990465    
   3739.17993      0.124294728    
   3744.24561      0.126842856    
   3749.31787      0.129699767    
   3754.39722      0.132889450    
   3759.48364      0.136383101    
   3764.57642      0.140099540    
   3769.67651      0.143919393    
   3774.78320      0.147710085    
   3779.89722      0.151355684    
   3785.01782      0.154783323    
   3790.14551      0.157978207    
   3795.28027      0.160981625    
   3800.42163      0.163870931    
   3805.57007      0.166725665    
   3810.72559      0.169588611    
   3815.88818      0.172433421    
   3821.05762      0.175148800    
   3826.23413      0.177547187    
   3831.41724      0.179397836    
   3836.60791      0.180479094    
   3841.80566      0.180636629    
   3847.01001      0.179833427    
   3852.22168      0.178176343    
   3857.44019      0.175910175    
   3862.66626      0.173378095    
   3867.89893      0.170955613    
   3873.13892      0.168973371    
   3878.38574      0.167648777    
   3883.64014      0.167044505    
   3888.90112      0.167066306    
   3894.16968      0.167502597    
   3899.44531      0.168098569    
   3904.72754      0.168646634    
   3910.01758      0.169071153    
   3915.31445      0.169484958    
   3920.61890      0.170202225    
   3925.92993      0.171701983    
   3931.24854      0.174550265    
   3936.57446      0.179298535    
   3941.90723      0.186382189    
   3947.24756      0.196044460    
   3952.59497      0.208302587    
   3957.94946      0.222964332    
   3963.31152      0.239688143    
   3968.68066      0.258070320    
   3974.05713      0.277735621    
   3979.44092      0.298405796    
   3984.83203      0.319930136    
   3990.23022      0.342268676    
   3995.63574      0.365436047    
   4001.04883      0.389421344    
   4006.46924      0.414108306    
   4011.89673      0.439220101    
   4017.33179      0.464304894    
   4022.77417      0.488769948    
   4028.22412      0.511956871    
   4033.68115      0.533240557    
   4039.14551      0.552128613    
   4044.61719      0.568335950    
   4050.09668      0.581817865    
   4055.58374      0.592752635    
   4061.07788      0.601482093    
   4066.57935      0.608422160    
   4072.08838      0.613969624    
   4077.60474      0.618425548    
   4083.12891      0.621952415    
   4088.66040      0.624574006    
   4094.19946      0.626209915    
   4099.74561      0.626736164    
   4105.29980      0.626047075    
   4110.86133      0.624103427    
   4116.43018      0.620952070    
   4122.00684      0.616712511    
   4127.59131      0.611536980    
   4133.18311      0.605557919    
   4138.78223      0.598841369    
   4144.38916      0.591362119    
   4150.00391      0.583010793    
   4155.62549      0.573634267    
   4161.25537      0.563099623    
   4166.89307      0.551365852    
   4172.53809      0.538542509    
   4178.19043      0.524920702    
   4183.85059      0.510963559    
   4189.51855      0.497257680    
   4195.19434      0.484434664    
   4200.87744      0.473079145    
   4206.56836      0.463644803    
   4212.26709      0.456396103    
   4217.97363      0.451385230    
   4223.68799      0.448465377    
   4229.40967      0.447340250    
   4235.13916      0.447630793    
   4240.87695      0.448945582    
   4246.62207      0.450939357    
   4252.37500      0.453348905    
   4258.13574      0.456003487    
   4263.90430      0.458812565    
   4269.68066      0.461740196    
   4275.46484      0.464774251    
   4281.25684      0.467900485    
   4287.05713      0.471086621    
   4292.86475      0.474277049    
   4298.68018      0.477397621    
   4304.50391      0.480364084    
   4310.33545      0.483092189    
   4316.17432      0.485505581    
   4322.02197      0.487542778    
   4327.87695      0.489163756    
   4333.74023      0.490358979    
   4339.61133      0.491160542    
