# Template No.           1: sn2005cf (Ia-norm; +47) ; z= 0.132 +/- 0.003
#redshifted_wavelength[A] flux[arbitraty]
   3094.82568       2.56149061E-02
   3099.01855       2.66314037E-02
   3103.21680       2.76884176E-02
   3107.42065       2.87874769E-02
   3111.63062       2.99301557E-02
   3115.84595       3.11181657E-02
   3120.06665       3.23533081E-02
   3124.29370       3.36375199E-02
   3128.52637       3.49728465E-02
   3132.76440       3.63613777E-02
   3137.00830       3.78052853E-02
   3141.25830       3.93067747E-02
   3145.51392       4.08681445E-02
   3149.77539       4.24917191E-02
   3154.04248       4.41799648E-02
   3158.31519       4.59354706E-02
   3162.59375       4.77609038E-02
   3166.87793       4.96587157E-02
   3171.16821       5.16310968E-02
   3175.46436       5.36802039E-02
   3179.76636       5.58081232E-02
   3184.07422       5.80169633E-02
   3188.38745       6.03087842E-02
   3192.70654       6.26856536E-02
   3197.03223       6.51496947E-02
   3201.36304       6.77028894E-02
   3205.70020       7.03473985E-02
   3210.04297       7.30851442E-02
   3214.39160       7.59179816E-02
   3218.74634       7.88476318E-02
   3223.10645       8.18755925E-02
   3227.47314       8.50031599E-02
   3231.84546       8.82315338E-02
   3236.22339       9.15617347E-02
   3240.60791       9.49947014E-02
   3244.99805       9.85314474E-02
   3249.39429      0.102172740    
   3253.79590      0.105919279    
   3258.20386      0.109771602    
   3262.61816      0.113729842    
   3267.03809      0.117793776    
   3271.46362      0.121962719    
   3275.89575      0.126235545    
   3280.33350      0.130610809    
   3284.77759      0.135086626    
   3289.22754      0.139660925    
   3293.68359      0.144331381    
   3298.14551      0.149095640    
   3302.61353      0.153951004    
   3307.08789      0.158894524    
   3311.56812      0.163922608    
   3316.05396      0.169031247    
   3320.54663      0.174215645    
   3325.04468      0.179470196    
   3329.54932      0.184788659    
   3334.06006      0.190164283    
   3338.57666      0.195589811    
   3343.09961      0.201057822    
   3347.62842      0.206560642    
   3352.16382      0.212090477    
   3356.70483      0.217639208    
   3361.25220      0.223198220    
   3365.80566      0.228758156    
   3370.36548      0.234308988    
   3374.93140      0.239839673    
   3379.50391      0.245338544    
   3384.08203      0.250793278    
   3388.66626      0.256191313    
   3393.25708      0.261520088    
   3397.85376      0.266766965    
   3402.45703      0.271919727    
   3407.06616      0.276969492    
   3411.68213      0.281910717    
   3416.30396      0.286738455    
   3420.93188      0.291447371    
   3425.56665      0.296032280    
   3430.20728      0.300488263    
   3434.85400      0.304810613    
   3439.50732      0.308995545    
   3444.16699      0.313039720    
   3448.83276      0.316940665    
   3453.50513      0.320696205    
   3458.18359      0.324304312    
   3462.86865      0.327763140    
   3467.55957      0.331070662    
   3472.25732      0.334225327    
   3476.96118      0.337225646    
   3481.67139      0.340071350    
   3486.38818      0.342762798    
   3491.11133      0.345301509    
   3495.84082      0.347689241    
   3500.57690      0.349927992    
   3505.31885      0.352019191    
   3510.06763      0.353963673    
   3514.82275      0.355761737    
   3519.58423      0.357413441    
   3524.35229      0.358919680    
   3529.12695      0.360282511    
   3533.90796      0.361505777    
   3538.69556      0.362594783    
   3543.48926      0.363555789    
   3548.29004      0.364395082    
   3553.09668      0.365117610    
   3557.91040      0.365726799    
   3562.72998      0.366224200    
   3567.55664      0.366610259    
   3572.38965      0.366885632    
   3577.22949      0.367052227    
   3582.07544      0.367114335    
   3586.92822      0.367078871    
   3591.78735      0.366954595    
   3596.65332      0.366750896    
   3601.52563      0.366476208    
   3606.40503      0.366136432    
   3611.29028      0.365734756    
   3616.18311      0.365271896    
   3621.08154      0.364747345    
   3625.98730      0.364161372    
   3630.89941      0.363516569    
   3635.81812      0.362818599    
   3640.74390      0.362076044    
   3645.67603      0.361299306    
   3650.61499      0.360498279    
   3655.56055      0.359680921    
   3660.51245      0.358851910    
   3665.47168      0.358012766    
   3670.43726      0.357162923    
   3675.40967      0.356301546    
   3680.38892      0.355429679    
   3685.37451      0.354551345    
   3690.36743      0.353673667    
   3695.36694      0.352805883    
   3700.37280      0.351957500    
   3705.38623      0.351136178    
   3710.40576      0.350346625    
   3715.43237      0.349590331    
   3720.46582      0.348866880    
   3725.50586      0.348175704    
   3730.55273      0.347518325    
   3735.60669      0.346899360    
   3740.66724      0.346326739    
   3745.73511      0.345809877    
   3750.80957      0.345357567    
   3755.89062      0.344976127    
   3760.97900      0.344667405    
   3766.07422      0.344429970    
   3771.17578      0.344260573    
   3776.28467      0.344157577    
   3781.40063      0.344123393    
   3786.52319      0.344163448    
   3791.65332      0.344285667    
   3796.78979      0.344500035    
   3801.93311      0.344814509    
   3807.08423      0.345231175    
   3812.24146      0.345743895    
   3817.40601      0.346339136    
   3822.57715      0.346999407    
   3827.75610      0.347709388    
   3832.94141      0.348461449    
   3838.13403      0.349259794    
   3843.33374      0.350120127    
   3848.54053      0.351065487    
   3853.75391      0.352118433    
   3858.97461      0.353292584    
   3864.20264      0.354586273    
   3869.43726      0.355980515    
   3874.67944      0.357443690    
   3879.92847      0.358940691    
   3885.18481      0.360444993    
   3890.44824      0.361949176    
   3895.71875      0.363469601    
   3900.99634      0.365043640    
   3906.28101      0.366718978    
   3911.57275      0.368538201    
   3916.87183      0.370522976    
   3922.17847      0.372663885    
   3927.49146      0.374920100    
   3932.81250      0.377229631    
   3938.14038      0.379528016    
   3943.47534      0.381770372    
   3948.81738      0.383948952    
   3954.16699      0.386099547    
   3959.52393      0.388294309    
   3964.88770      0.390621275    
   3970.25903      0.393155605    
   3975.63818      0.395933330    
   3981.02393      0.398934364    
   3986.41675      0.402083248    
   3991.81738      0.405268490    
   3997.22534      0.408375710    
   4002.64038      0.411325455    
