                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3091.6560  2.60060e-17  3.33551e-16  3.30779e-17     763   116.924  2.81849e+14  0     
   3093.6084 -2.66391e-17  2.96511e-16  2.99552e-17     764   116.922  2.91940e+14  0     
   3095.5615  3.01732e-18  2.77902e-16  2.95069e-17     765   116.921  3.01673e+14  0.111 
   3097.5151  1.65834e-17  2.63656e-16  2.88029e-17     766   116.920  3.11283e+14  0.111 
   3099.4695  2.26669e-17  2.50010e-16  2.79184e-17     767   116.919  3.21562e+14  0     
   3101.4246  2.78686e-17  2.54955e-16  2.74610e-17     768   116.918  3.32951e+14  0     
   3103.3801  3.36028e-18  2.19853e-16  2.51528e-17     769   116.917  3.46049e+14  0     
   3105.3364  2.21258e-17  2.28754e-16  2.51120e-17     770   116.915  3.60259e+14  0     
   3107.2932  2.97457e-17  2.26665e-16  2.45295e-17     771   116.914  3.74711e+14  0     
   3109.2507 -1.67710e-17  2.22119e-16  2.25026e-17     772   116.913  3.90199e+14  0     
   3111.2090  1.73406e-18  2.32489e-16  2.25509e-17     773   116.912  4.06658e+14  0     
   3113.1677  2.33802e-17  1.97498e-16  2.15120e-17     774   116.911  4.24570e+14  0     
   3115.1272 -4.79363e-17  1.83191e-16  1.85675e-17     775   116.910  4.43348e+14  0     
   3117.0872  1.30343e-17  1.96514e-16  1.99341e-17     776   116.909  4.62019e+14  0     
   3119.0479 -1.51744e-18  1.78204e-16  1.85120e-17     777   116.908  4.81246e+14  0     
   3121.0093 -3.29339e-18  1.67305e-16  1.76293e-17     778   116.907  5.01145e+14  0     
   3122.9712  1.86747e-17  1.73534e-16  1.78185e-17     779   116.906  5.21746e+14  0     
   3124.9336  5.00353e-18  1.68339e-16  1.68298e-17     780   116.905  5.43283e+14  0     
   3126.8970  1.09415e-19  1.61115e-16  1.60613e-17     781   116.904  5.64187e+14  0     
   3128.8606  1.33019e-17  1.55605e-16  1.58568e-17     782   116.903  5.83601e+14  0     
   3130.8252 -2.94856e-17  1.77726e-16  1.49313e-17     783   116.903  6.04599e+14  0     
   3132.7903  7.11472e-18  1.52471e-16  1.48104e-17     784   116.902  6.27469e+14  0     
