#Wavelength[A] Flux[erg/s/cm^2/A]
3091.656 2.6006e-17
3093.6084 -2.66391e-17
3095.5615 3.0173200000000004e-18
3097.5151 1.65834e-17
3099.4695 2.26669e-17
3101.4246 2.78686e-17
3103.3801 3.3602800000000003e-18
3105.3364 2.21258e-17
3107.2932 2.97457e-17
3109.2507 -1.6771e-17
3111.209 1.7340600000000002e-18
3113.1677 2.33802e-17
3115.1272 -4.79363e-17
3117.0872 1.30343e-17
3119.0479 -1.51744e-18
3121.0093 -3.2933900000000004e-18
3122.9712 1.86747e-17
3124.9336 5.00353e-18
3126.897 1.09415e-19
3128.8606 1.33019e-17
3130.8252 -2.94856e-17
3132.7903 7.11472e-18
3134.7559 4.4656200000000006e-18
3136.7222 -1.19284e-17
3138.689 -2.39519e-18
3140.6565 8.031900000000001e-18
3142.6248 -1.54483e-17
3144.5935 -1.09041e-17
3146.5627 -4.7085400000000005e-18
3148.5327 7.62279e-19
3150.5034 -3.31586e-17
3152.4746 -9.105630000000001e-18
3154.4463 2.22124e-17
3156.4187 -9.97182e-18
3158.3918 -1.2277e-17
3160.3655 6.4157600000000004e-18
3162.3396 2.9279000000000004e-18
3164.3145 8.217980000000001e-18
3166.2898 3.4151300000000004e-18
3168.2659 -2.1084600000000003e-18
3170.2424 3.16314e-19
3172.2197 -3.62807e-18
3174.1975 -7.578110000000001e-18
3176.176 6.2564400000000006e-18
3178.155 -2.5667800000000002e-18
3180.1345 1.12993e-17
3182.1147 3.3175000000000003e-18
3184.0955 5.0854700000000004e-18
3186.0769 9.825310000000001e-18
3188.0588 1.6191000000000001e-18
3190.0413 8.72062e-19
3192.0244 -1.02829e-17
3194.0083 1.86975e-18
3195.9924 -1.4518100000000002e-18
3197.9773 2.9412500000000004e-18
3199.9629 6.886840000000001e-19
3201.9487 -5.80769e-19
3203.9353 1.4689500000000002e-18
3205.9226 2.09294e-19
3207.9104 -1.18218e-18
3209.8987 1.14006e-17
3211.8875 -7.41946e-18
3213.877 -2.8568e-18
3215.8669 -3.36966e-18
3217.8577 9.986230000000001e-18
3219.8489 -1.8930999999999998e-20
3221.8406 3.24838e-18
3223.833 -1.51624e-17
3225.8257 -1.8594900000000003e-18
3227.8191 8.181180000000001e-18
3229.8132 -3.90886e-18
3231.8079 5.402160000000001e-18
3233.803 -9.94339e-19
3235.7986 -8.00442e-20
3237.7949 -1.10794e-18
3239.7915 -2.29708e-19
3241.7891 -3.0363800000000004e-18
3243.7869 -8.0117e-18
3245.7854 -6.103940000000001e-18
3247.7844 8.32297e-18
3249.7839 6.04133e-18
3251.7842 5.20996e-18
3253.7847 5.7297900000000004e-18
3255.7859 -3.75137e-19
3257.7876 2.4150100000000004e-18
3259.79 2.09918e-18
3261.793 1.09649e-17
3263.7964 -1.39503e-18
3265.8003 1.9613800000000003e-18
3267.8047 -9.45839e-19
3269.8098 1.9089600000000003e-18
3271.8152 9.776350000000001e-18
3273.8213 9.79846e-18
3275.8279 8.96042e-19
3277.8352 8.911369999999999e-20
3279.843 -2.11222e-18
3281.8511 8.1965e-19
3283.8599 8.719520000000002e-18
3285.8691 3.2325600000000003e-18
3287.8789 -1.09171e-18
3289.8894 1.48294e-17
3291.9004 7.450600000000001e-18
3293.9116 1.206e-17
3295.9236 -8.662090000000001e-18
3297.936 1.08184e-17
3299.9492 4.776410000000001e-18
3301.9626 1.1785200000000002e-18
3303.9768 3.3049500000000003e-18
3305.9912 4.5973e-18
3308.0063 5.66883e-18
3310.022 4.59899e-18
3312.0381 4.3166000000000006e-18
3314.0547 3.13425e-18
3316.072 2.11775e-18
3318.0896 5.5545700000000005e-18
3320.1077 6.2837400000000004e-18
3322.1265 7.69439e-18
3324.1455 6.3483200000000006e-18
3326.1653 2.4838700000000003e-18
3328.1855 5.12796e-18
3330.2063 4.36874e-18
3332.2275 -8.82198e-19
3334.2493 3.3462800000000002e-18
3336.2715 3.7782600000000004e-18
