Neutrino,ztfid,iau_name,in_gcn,classif_code,classif,notes,max_brightness,max_range,catmatch,dist
IC190503A,ZTF19aatqcwq,,0,1,AGN Variability,"Likely QSO (prob = 99.0%), No significant temporal evolution",20.6 (g),0.2 (g),SDSS J080209.58+070006.2,0.25
IC190503A,ZTF19aatqlwq,,0,1,AGN Variability,"Likely QSO (prob = 99.0%), No significant temporal evolution",21.2 (r),0,SDSS J080049.29+060042.5,0.19
IC190619A,ZTF18abolwbb,,0,1,AGN Variability,"QX, No significant temporal evolution",19.4 (r),1.1 (g),LAMOSTJ225850.59+081426.4,0.27
IC190619A,ZTF18abueqkl,AT2020kqj,0,1,AGN Variability,"Likely QSO (prob = 99.0%), No significant temporal evolution",19.3 (g),1.2 (r),WISEA J224411.16+081751.2,0.25
IC190619A,ZTF18acehkni,,0,1,AGN Variability,No significant temporal evolution,19.4 (r),1.3 (r),,
IC190619A,ZTF18actxchc,,1,1,AGN Variability,"Likely QSO (prob = 94.0%), No contemporaneous flaring activity",18.0 (g),2.3 (g),WISEA J230443.58+121210.3,0.77
IC190619A,ZTF19aadaszg,SN2019rg,0,,SN Ia,,15.9 (r),5.0 (r),,
IC190619A,ZTF19aawnawu,,0,1,AGN Variability?,No significant temporal evolution,20.0 (g),1.0 (g),,
IC190619A,ZTF19aaycone,,0,1,AGN Variability,"Likely QSO (prob = 99.0%), no contemporaneous flaring activity",17.9 (g),2.7 (g),SDSS J224429.63+083423.9,0.83
IC190619A,ZTF19aaycool,,1,1,AGN Variability,"Likely QSO (prob = 99.0%), no significant temporal evolution",20.3 (g),0.4 (g),WISEA J230053.10+102715.2,0.1
IC190619A,ZTF19aaycosc,,0,1,AGN Variability,"Likely QSO (prob = 99.0%), no significant temporal evolution",19.3 (r),1.2 (g),WISEA J224657.13+102253.5,0.97
IC190619A,ZTF19aaycoxd,,0,1,AGN Variability,"Likely QSO (prob = 93.0%), no significant temporal evolution",20.3 (g),0.5 (g),WISEA J230813.32+083310.3,0.03
IC190619A,ZTF19abahiwr,AT2019izf,0,0,Unclassified,SN? Abs mag peak of -19.4,19.5 (r),1.0 (r),,
IC190619A,ZTF19abahiya,,0,0,Unclassified,SN?,19.6 (r),0.8 (r),,
IC190619A,ZTF19abahizn,,0,1,AGN Variability?,No significant temporal evolution,19.7 (g),1.0 (g),,
IC190619A,ZTF19abahjcp,,0,1,AGN Variability,No significant temporal evolution,20.2 (g),0.6 (g),,
IC190619A,ZTF19abahlep,,0,0,Unclassified,"Hostless, two detections",20.8 (r),0.0 (r),,
IC190619A,ZTF19abahlka,,0,1,AGN Variability,"Likely QSO (prob = 96.0%), No contemporaneous flaring activity",19.8 (i),1.3 (g),WISEA J230807.46+091325.0,0.41
IC190619A,ZTF19abajnby,,0,1,AGN Variability,"QR'-type source, no significant temporal evolution",20.0 (r),0.7 (r),LAMOSTJ225304.02+095743.0,0.65
IC190730A,ZTF19aanlzzk,,0,,Artifact,"Bad sub, SDSS Morphology: 'Star'-type source",13.8 (g),1.5 (g),,1.21
IC190922B,ZTF18acekfly,AT2019kkd,0,2,AGN Variability (FP),"AX'-type source, variable, NCFA in forced photometry",18.5 (r),2.0 (r),MCG 0-02-020,0.21
IC190922B,ZTF19abcejyp,AT2019kkp,0,1,AGN Variability,No significant temporal evolution,19.3 (r),1.0 (g),,
IC190922B,ZTF19abxtupj,AT 2019pqh,1,,SN II/IIb,"IIb, spectrum by NOT and us (Keck)",20.3 (r),0.8 (r),,
IC191001A,ZTF18ablvxkp,,0,1,AGN Variability,"Likely QSO (prob = 100.0%), No contemporaneous flaring activity",19.3 (r),1.6 (r),WISEA J210459.52+131416.4,0.4
IC191001A,ZTF18absoqfm,,0,1,AGN Variability,"Likely QSO (prob = 90.0%), No contemporaneous flaring activity",19.0 (g),1.9 (g),WISEA J212205.01+135754.8,0.2
IC191001A,ZTF19aapreis,AT2019dsg,1,,TDE,150 days old. Radio-detected. Swift+VLA triggered.,17.8 (g),2.1 (g),,
IC191001A,ZTF19abassjx,,0,2,AGN Variability (FP),"Likely QSO (prob = 85.0%), NCFA in forced photometry",19.4 (i),1.3 (g),WISEA J205314.58+125218.9,0.28
IC191001A,ZTF19abcdynm,,0,1,AGN Variability?,"No significant temporal evolution, No contemporanous flaring activity",20.5 (g),0.5 (g),,
IC191001A,ZTF19abexshr,,0,2,AGN Variability (FP),"No significant temporal evolution, NCFA in forced photometry",20.2 (r),0.9 (r),,
IC191001A,ZTF19abjfikj,,0,1,AGN Variability?,Found in GW follow-up. Faint. No contemporaneous flaring activity,20.9 (g),0.6 (g),,
IC191001A,ZTF19abjflnc,,0,1,AGN Variability,"Likely QSO (prob = 97.0%), No significant temporal evolution, No contemporaneous flariring activity",19.2 (i),1.3 (r),SDSS J211737.70+130833.3,0.27
IC191001A,ZTF19abjflrg,,0,1,AGN Variability?,"No significant temporal evolution, No contemporanous flaring activity",21.3 (g),0.2 (g),,
IC191001A,ZTF19abjfmem,,0,1,AGN Variability,"Likely QSO (prob = 96.0%), No significant temporal evolution",21.5 (g),0.2 (g),WISEA J211501.94+132137.9,0.1
IC191001A,ZTF19abwaurq,,0,0,Unclassified,"Looks real, Lasair says Gaia star",19.5 (r),1.0 (g),,
IC191001A,ZTF19abzkexb,SN2019qhl,1,,SNIa,"Caltech-classified, SDSS Morphology: 'Star'-type source",18.9 (g),0.7 (r),,0.6
IC191001A,ZTF19acbpqfn,AT2019rsj,1,0,Unclassified,Likely real,20.4 (g),0.6 (g),,
