Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),Area (rectangle),Observed area (from Healpix),Observed area (corrected for chip gaps),Signalness,Energy estimate [TeV]
IC190503A,EHE,120.28,"[0.57, -0.77]",6.35,"[0.76, -0.7]",1.944284,1.642524,1.373688,0.36,
IC190619A,GOLD,343.26,"[4.08, -2.63]",10.73,"[1.51, -2.61]",27.209992,25.732874,21.572469,0.55,198.7
IC190730A,GOLD,225.79,"[1.28, -1.43]",10.47,"[1.14, -0.89]",5.407511,4.960357,4.521039,0.67,298.81
IC190922B,GOLD,5.76,"[1.19, -1.37]",-1.57,"[0.93, -0.82]",4.478434,4.114506,4.094835,0.51,187.37
IC191001A,GOLD,314.08,"[6.56, -2.26]",12.94,"[1.5, -1.47]",25.528634,28.651031,23.057626,0.59,217.42
IC200107A,EXTRA,148.18,"[2.2, -1.83]",35.46,"[1.1, -1.22]",7.621119,7.458567,6.281588,,
IC200109A,GOLD,164.49,"[4.94, -4.19]",11.87,"[1.16, -1.36]",22.52385,25.015373,22.356029,0.77,375.23
IC200117A,BRONZE,116.24,"[0.71, -1.24]",29.14,"[0.9, -0.78]",2.859693,2.658856,2.655578,0.38,108.39
IC200512A,BRONZE,295.18,"[1.72, -2.26]",15.79,"[1.26, -1.29]",9.766755,9.34042,9.258458,0.32,108.77
IC200530A,GOLD,255.37,"[2.48, -2.56]",26.61,"[2.33, -3.28]",25.383588,24.501214,22.047851,0.59,82.186
IC200620A,BRONZE,162.11,"[0.64, -0.95]",11.95,"[0.63, -0.48]",1.726172,1.599904,1.242548,0.32,113.5
IC200916A,BRONZE,109.78,"[1.08, -1.44]",14.36,"[0.88, -0.85]",4.223108,3.95386,3.612897,0.32,110.48
IC200926A,GOLD,96.46,"[0.73, -0.55]",-4.33,"[0.61, -0.76]",1.74842,1.439257,1.288447,0.44,670.5
IC200929A,GOLD,29.53,"[0.53, -0.53]",3.47,"[0.71, -0.35]",1.121321,0.895648,0.872079,0.47,182.89
IC201007A,GOLD,265.17,"[0.52, -0.52]",5.34,"[0.32, -0.23]",0.569476,0.62947,0.550786,0.88,682.65
IC201021A,BRONZE,260.82,"[1.73, -1.68]",14.55,"[1.35, -0.74]",6.888703,6.586488,6.304538,0.3,105.27
IC201130A,GOLD,30.54,"[1.13, -1.31]",-12.1,"[1.15, -1.13]",5.439807,4.593395,4.514482,0.15,203.47
IC201209A,GOLD,6.86,"[1.02, -1.22]",-9.25,"[0.99, -1.14]",4.708149,3.894847,3.196529,0.19,418.6
IC201222A,GOLD,206.37,"[0.9, -0.8]",13.44,"[0.55, -0.38]",1.537156,1.99963,1.396637,0.53,185.78
IC210210A,GOLD,206.06,"[1.4, -0.95]",4.78,"[0.62, -0.56]",2.763234,2.609679,2.052335,0.65,287.41
IC210510A,BRONZE,268.42,"[1.47, -1.6]",3.81,"[0.68, -0.64]",4.043349,4.128167,3.665353,0.28,113.03
IC210629A,BRONZE,340.75,"[1.11, -2.23]",12.94,"[0.91, -0.93]",5.989773,5.766865,4.593166,0.35075,120.95
IC210811A,GOLD,270.79,"[1.07, -1.08]",25.28,"[0.79, -0.84]",3.169533,3.029326,2.658856,0.658,217.71
IC210922A,GOLD,60.73,"[0.96, -0.66]",-4.18,"[0.42, -0.55]",1.567089,1.478599,1.16,0.925,750.88
IC220405A,BRONZE,134.47,"[1.71, -1.72]",-1.27,"[1.45, -1.02]",8.470664,7.648719,7.520858,0.32311,121.823
IC220405B,BRONZE,320.62,"[1.37, -1.13]",29.06,"[0.94, -0.68]",3.535679,3.712471,3.40963,0.36433,106.32
IC220501A,BRONZE,311.57,"[0.82, -1.07]",18.68,"[1.08, -0.92]",3.579184,3.022769,2.468704,0.39642,127.029
IC220513A,GOLD,224.03,"[1.36, -1.27]",-1.34,"[0.74, -0.81]",4.075326,3.770264,1.93431,0.56006,207.941
IC220624A,GOLD,224.12,"[2.23, -1.95]",41.31,"[1.56, -1.56]",9.796184,9.724004,8.091315,0.60866,192.981
IC220822A,BRONZE,273.08,"[2.47, -2.50]",21.54,"[0.94, -1.18]",9.808634,11.452134,9.632206,0.38343,114.929
IC220907A,BRONZE,224.81,"[2.07, -1.95]",44.7,"[0.94, -1.06]",5.720747,7.205594,5.406231,0.46014,127.767
IC221216A,BRONZE,6.86,"[1.08, -2.06]",10.43,"[1.54, -1.07]",8.053833,7.114325,5.681625,0.4145,155.667
IC221223A,GOLD,350.54,"[0.67, -0.67]",34.71,"[0.67, -0.67]",1.476063,1.278611,0.973712,0.79471,352.748
IC230112A,BRONZE,24.35,"[1.43, -1.71]",0.9,"[0.63, -1.26]",5.934291,5.8846,5.570156,0.28425,111.244
