temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq,av,av_chisq
,,,,,,,,0.4,2.09356009154356
13200,2.7127393303893,1100,3.05974258999692,,,4E+019,2.52303045874817,0.42,1.77171
13250,2.32693983641384,1150,2.50818979201063,,,5E+019,2.03953294487074,0.45,1.35983990361229
13350,1.74803172984569,1200,2.10667560578367,8.7E+022,2.74907531061413,6E+019,1.75194833350607,0.48,1.02123179064216
13500,1.36130680964866,1300,1.62256907982098,9E+022,1.65407057383896,8E+019,1.46955020915732,0.5,0.84523223788296
13525.8941,1.35277801171714,1400,1.41158579168889,9.26E+022,1.35277801171714,1.1E+020,1.35576425267722,0.57971783,0.528857206152003
13700,1.74612705192381,1504.71671,1.35277801171714,9.7E+022,2.15468330943643,1.15E+020,1.35277801171714,0.6,0.550778619699834
13800,2.32454142168443,1600,1.37101279344636,9.8E+022,2.55892492158612,1.2E+020,1.37153153635612,0.7,1.31884
13900,3.16159894174775,1700,1.41571835028214,9.9E+022,3.0439388236812,2E+020,1.44847287523392,0.8,3.14030178493176
,,1800,1.45661397233074,1.01E+023,4.25026285284143,3E+020,1.4999403301746,,
,,1900,1.4800352700743,1.03E+023,5.76631157111814,4E+020,1.80229076227031,,
,,2000,1.49213841233608,,,4.2E+020,1.95427712521814,,
,,2100,1.52499373109884,,,4.4E+020,2.23095798940749,,
,,2300,1.95717533215872,,,5E+020,4.55393452795196,,
,,2350,2.23123142541673,,,,,,
,,2400,2.6130489035845,,,,,,
,,2500,3.79878285190148,,,,,,
