temp1,temp1_chisq,temp2,temp2_chisq,scale1,scale1_chisq,scale2,scale2_chisq
,,,,,,,
,,,,1.50E+23,3.18624999121308,,
8500,2.93715415669959,,,1.70E+23,2.72508627116242,4.00E+20,4.05600399207503
9000,2.32408870197273,,,2.00E+23,2.26612714909791,5.00E+20,1.8336318405944
10230.1656,1.8066841343865,2237.028,1.8066841343865,2.50E+23,1.89373583139124,5.16E+20,1.8066841343865
11000,1.94519576440711,,,2.98E+23,1.8066841343865,6.00E+20,2.32664695429719
11500,2.15162494392478,,,3.50E+23,1.88015441293589,7.00E+20,3.62992533654236
12000,2.42134929677075,,,4.00E+23,2.04699433779183,,
12500,2.73631155304391,,,5.00E+23,2.52469150422219,,
13000,3.08253999061303,,,6.00E+23,3.08203129983372,,
,,,,7.00E+23,3.65595976139208,,
