,band,telescope,obsmjd,mag,mag_err,alert
0,J,P200,59031,19.0580886322382,0.50484757366427,True
1,J,P200,59121,19.7811075238275,0.982521776257324,True
2,H,P200,59031,17.737136444809,0.118517695551469,True
3,H,P200,59121,17.7556647729333,0.120557555230725,True
4,H,P200,59249,18.2610605776416,0.1920215158139,True
5,H,P200,59362,18.4162764326254,0.221531411722202,True
6,Ks,P200,59031,17.1290352916569,0.258010641956797,True
7,Ks,P200,59121,17.4497645518776,0.346622325867711,True
8,Ks,P200,59249,17.8144506498207,0.484880485164956,True
9,Ks,P200,59362,17.9104842842699,0.52968923086663,True
