,obsmjd,telescope,band,alert,mag,mag_err
0,58659.7885448448,Swift,UVW1,True,19.1071747594821,0.119546318761556
1,58659.7905128747,Swift,U,True,18.472754069491,0.118741547864658
2,58659.7915243534,Swift,B,True,18.4764188950076,0.152225014886109
3,58659.7944571436,Swift,UVW2,True,19.525675181543,0.124095883362571
4,58659.7973817615,Swift,V,True,18.3782325910244,0.279906278196936
5,58659.8016044712,Swift,UVM2,True,19.4260368247046,0.111922477199531
7,58672.4536191868,Swift,U,True,18.7210118080999,0.126958510382617
8,58672.4541145829,Swift,B,True,18.5376810950081,0.14861795419803
9,58672.455332737,Swift,UVW2,True,19.9615328429088,0.144489356720512
10,58672.4568844326,Swift,V,True,18.866203448315,0.375879064741977
11,58672.4587656469,Swift,UVM2,True,19.7951923020456,0.123830597570274
12,58678.267107131,Swift,UVW1,True,19.589538710709,0.164185483524234
13,58678.2679651007,Swift,U,True,18.7467487933017,0.147884712001881
14,58678.2684087162,Swift,B,True,18.1596279124552,0.138585972828246
15,58678.2696153778,Swift,UVW2,True,20.2348618023575,0.184542978003374
16,58678.270889909,Swift,V,True,18.5504666398096,0.347701312764665
17,58678.2726693503,Swift,UVM2,True,20.0360493191101,0.152961462397904
18,58683.7623978765,Swift,U,True,18.8571690434299,0.231351911850726
19,58683.7627717699,Swift,B,True,18.4009634152009,0.236246986242746
20,58683.7637992092,Swift,UVW2,True,19.9705760860691,0.225891801792481
21,58683.7648136886,Swift,V,True,18.5930870683685,0.531129294054326
22,58683.7660620427,Swift,UVM2,True,19.5657182078221,0.193720046738205
23,58683.8307233239,Swift,UVW1,True,19.3415453328707,0.13519049336007
24,58688.4083206081,Swift,UVW1,True,19.433534633755,0.194207465178512
25,58688.4092884474,Swift,U,True,18.570979559562,0.173936895153399
26,58688.4098027423,Swift,B,True,18.492517187148,0.221130397114377
27,58688.4112475566,Swift,UVW2,True,19.765280248673,0.177005451955064
28,58688.412679154,Swift,V,True,18.9154023666188,0.581274650540487
29,58688.4146820628,Swift,UVM2,True,19.7632289518659,0.174224723648991
30,58693.6874959753,Swift,UVW1,True,19.1349720104879,0.109192863216667
31,58693.6892163963,Swift,U,True,18.7195205602937,0.121191500318843
32,58693.6899205749,Swift,B,True,18.3996674932099,0.132058524211887
33,58693.6912134308,Swift,UVW2,True,19.823911747718,0.129057473535772
34,58693.6939606131,Swift,V,True,18.3693400654998,0.246750451818019
35,58693.6955101378,Swift,UVM2,True,19.539740970973,0.992675992595172
36,58705.7479276159,Swift,UVW1,True,19.0512803176811,0.126519760517756
37,58705.7495035445,Swift,U,True,18.5421404884355,0.134786880969044
38,58705.7503166473,Swift,B,True,18.3367978091454,0.154885426883767
39,58705.7526763384,Swift,UVW2,True,19.8076046839144,0.150540160538439
40,58705.7550273459,Swift,V,True,18.1151088889096,0.258516446879647
41,58705.7585004806,Swift,UVM2,True,19.58082777027,0.128643759815625
42,58707.2698415937,Swift,UVW1,True,19.1796199842286,0.121081308152637
43,58707.2719360432,Swift,U,True,18.5882569338089,0.123151411339509
44,58707.273011561,Swift,B,True,18.3176669134841,0.135136465572382
45,58707.2761364686,Swift,UVW2,True,19.8125527469664,0.137661140873508
46,58707.2792521827,Swift,V,True,18.6376290388664,0.328053983423325
47,58707.2838713867,Swift,UVM2,True,19.6722147687698,0.12179941265961
48,58712.4132152265,Swift,UVW1,True,19.3991157242391,0.143813037181335
49,58712.4141355115,Swift,U,True,18.7409970558974,0.150044690456504
50,58712.4146585539,Swift,B,True,18.6817894826346,0.204909233193944
51,58712.4162941459,Swift,UVW2,True,19.9439831344073,0.150910836361462
52,58712.4176216079,Swift,V,True,18.4763047832412,0.310557671264389
53,58712.4198647114,Swift,UVM2,True,19.6290003584504,0.126975682901306
54,58719.5551929413,Swift,UVW1,True,19.5633002694661,0.229888349112464
55,58719.5559499557,Swift,U,True,18.3506806005834,0.17215651080211
56,58719.5563578797,Swift,B,True,18.4114572364572,0.235493839885401
57,58719.5574835171,Swift,UVW2,True,20.2092065815548,0.249602546833257
58,58719.5585980457,Swift,V,True,18.0070051527938,0.341067781206091
59,58719.5601840913,Swift,UVM2,True,19.6340411352747,0.179944928457438
60,58724.333813217,Swift,UVW1,True,19.6823305131215,0.162818456799055
61,58724.334907352,Swift,U,True,18.6077177979562,0.133714972335215
62,58724.3354655742,Swift,B,True,18.3384331723463,0.153762527641028
63,58724.337002968,Swift,UVW2,True,19.8366243873953,0.140218020901922
64,58724.3386210641,Swift,V,True,18.276047414075,0.258446297817228
65,58724.3408333301,Swift,UVM2,True,19.8373853036651,0.130876359908029
66,58729.5793039976,Swift,UVW1,True,19.7365715067295,0.172862093892396
67,58729.5803761119,Swift,U,True,18.8782022235551,0.160888681733177
68,58729.5809004307,Swift,B,True,18.6862221457277,0.274087374228891
69,58729.914646389,Swift,UVW2,True,20.2383890329466,0.243534847205191
70,58729.9158867621,Swift,V,True,18.6924111258444,0.543706234958223
71,58729.9180046604,Swift,UVM2,True,19.9928781809761,0.192078304795236
72,58734.4289056035,Swift,UVW1,True,19.7589574903839,0.171816591616962
73,58734.4309645537,Swift,U,True,18.6434650564157,0.128197958097213
74,58734.4320231518,Swift,B,True,18.4815423223296,0.151785718031739
75,58734.4350946192,Swift,UVW2,True,20.348052968661,0.181045590198455
76,58734.4381589987,Swift,V,True,18.3385467956463,0.268073683045519
77,58734.4428347708,Swift,UVM2,True,20.0863881863034,0.149958345124016
78,58750.4280853323,Swift,UVW1,True,19.748954063,0.141018075873232
79,58750.4289073576,Swift,U,True,18.9422538763336,0.136701127579483
80,58750.4307380049,Swift,UVW2,True,20.5459123708148,0.176502258094832
81,58750.4339967384,Swift,UVM2,True,20.1645313110485,1.15903698358495
82,58750.4319328545,Swift,V,True,18.6007290134258,0.280944917124558
83,58750.4293696163,Swift,B,True,18.6777291876373,0.16376989013845
84,59007.6898168516,Swift,UVM2,True,21.33385472172,0.357528252645329
85,59007.6928309198,Swift,UVW1,True,21.0802511120772,0.331672642245768
86,59007.6947196033,Swift,U,True,20.0404231306595,0.212179571146138
87,59007.6970416876,Swift,UVW2,True,21.4071622769015,0.287776969047475
